date,day,shift,attendance,Reasons,Employee_Id,Team,Tenure,Month,Week_Numb,Holiday,Holiday_Association
05/10/2023,Thursday,Day,Present,Other Reasons,A001,T001,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A002,T001,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A003,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A004,T003,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Night,Present,Other Reasons,A005,T004,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A006,T003,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A007,T003,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A008,T005,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Unscheduled,Unscheduled,Unplanned Leave,A009,T006,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A010,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A011,T008,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A012,T009,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A013,T003,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A014,T006,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A015,T010,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A016,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A017,T001,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A018,T011,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A019,T010,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A020,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A021,T010,1-3M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A022,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A023,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A024,T001,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A025,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A026,T008,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Night,Present,Other Reasons,A027,T004,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A028,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A029,T006,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A030,T009,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Absent,Sick Leave,A031,T005,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A032,T006,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Night,Present,Other Reasons,A033,T004,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A034,T009,1-3M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A035,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A036,T005,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Night,Present,Other Reasons,A037,T004,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A038,T008,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A039,T009,1-3M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A040,T010,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A041,T011,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A042,T006,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A043,T003,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A044,T005,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A045,T005,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A046,T011,3-6M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A047,T010,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A048,T008,3-6M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A049,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A050,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Unscheduled,PTO,Other Reasons,A051,T002,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A052,T003,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A053,T001,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A054,T005,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A055,T005,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Unscheduled,PTO,Other Reasons,A056,T010,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A057,T007,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A058,T001,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A059,T008,>24M,Oct,1,NH,Not_assosiated_with_Holiday
05/10/2023,Thursday,Day,Present,Other Reasons,A060,T010,12-24M,Oct,1,NH,Not_assosiated_with_Holiday
